id,Unknown,Straight_and_Level,Straight_and_Grade,Straight_at_Hill_Crest,Curve_and_Level,Curve_and_Grade,Curve_at_Hill_Crest
Farmersville,4,17,6,2,7,1,
Massena,15,137,41,3,13,8,
Catskill,9,158,42,7,23,29,3
Camillus,19,309,77,10,32,22,4
Big Flats,5,138,22,1,16,13,1
Arcade,3,72,26,3,3,3,1
Chautauqua,6,40,23,2,8,4,
Newstead,14,91,6,2,14,,
North Castle,14,182,41,14,22,23,6
Romulus,1,33,5,4,6,3,1
Perinton,37,342,65,18,27,21,3
Benton,2,27,18,2,6,3,
Ogden,8,157,25,5,17,1,
Dansville,10,63,17,6,3,12,3
Tuscarora,1,25,4,,13,9,4
Rhinebeck,24,217,39,5,29,33,4
Ohio,1,6,2,,4,7,
Webster,37,414,65,12,22,14,4
Rose,1,14,1,1,2,2,1
Ledyard,5,9,9,1,1,2,
Le Roy,2,28,11,1,2,2,
Yorkshire,3,38,6,3,4,3,2
Mt. Morris,3,72,12,2,5,7,1
Hinsdale,7,44,8,2,13,7,
Easton,3,38,9,,12,15,2
Almond,6,24,4,,6,5,
Chemung,10,58,6,1,7,7,
Glens Falls,12,333,10,4,11,1,
Veteran,1,35,13,,6,11,1
Tully,4,45,26,1,8,12,
Canandaigua,33,309,91,13,16,9,3
Niagara,9,208,14,2,16,7,
Leroy,13,121,21,2,7,4,3
Alfred,1,26,12,3,14,4,5
Phelps,8,130,51,4,16,18,1
Hudson,17,67,20,2,5,2,1
Mina,1,22,9,1,3,2,
Wayne,,10,8,2,4,2,
Thompson,12,141,86,13,29,54,6
Waddington,4,37,4,4,5,2,
Portville,3,24,7,1,7,2,
Richland,4,66,22,3,5,7,
Floral Park,7,178,4,,,,
Red House,1,8,3,,4,,
Harriman,5,29,17,,,6,
Augusta,2,14,5,,3,3,
Pendleton,4,115,3,,12,,
Prattsville,1,10,1,1,1,3,
Hopewell,1,79,26,2,11,8,
Lenox,1,97,10,2,13,2,
Rockland,9,46,16,3,25,20,2
Sterling,2,10,17,4,4,4,
Albion,12,118,24,2,9,6,
Stockbridge,1,19,13,1,1,9,2
Gainesville,4,29,22,1,3,5,3
Williamson,7,64,10,4,8,4,1
Gouverneur,3,61,24,2,10,9,4
Bristol,7,29,13,6,7,12,2
Highlands,7,82,17,4,56,45,3
Aurelius,1,55,12,2,10,5,1
Shawangunk,4,92,32,5,22,24,
Yorktown,41,403,142,17,49,85,5
Stony Creek,,1,2,,2,2,
Cortland,15,381,12,4,16,10,
Green Island,3,31,1,,6,4,
Plymouth,4,11,7,,7,3,1
Ballston Spa,12,47,36,1,,4,1
Scotia,2,66,21,3,5,1,
North Greenbush,10,187,61,10,26,30,3
Nassau,5,21,14,,5,30,1
Hurley,9,53,27,1,16,8,
East Greenbush,19,207,41,7,30,22,1
Newfane,3,114,,1,17,1,
Ontario,12,126,10,3,8,2,
Elma,21,179,24,4,18,9,3
Ballston,13,99,24,,26,7,
Sheldon,2,31,37,6,5,13,
Mount Kisco,22,36,11,1,9,12,2
Mechanicville,5,45,9,2,2,2,
Oswegatchie,5,75,13,3,13,4,1
Brasher,,37,5,4,7,1,
East Syracuse,2,86,13,1,14,13,
Marcellus,4,49,25,6,3,9,1
Eastchester,17,180,67,10,40,33,
Parma,9,156,8,3,4,2,
Ellenville,4,44,4,1,2,8,2
Peekskill,25,181,63,14,8,18,1
Lloyd Harbor,1,14,2,3,7,8,
Hastings On Hudson,8,56,8,4,1,1,
Wellsville,6,70,9,3,8,6,1
Baldwinsville,11,71,21,,4,4,
North Harmony,4,32,27,2,3,7,
Falconer,3,36,1,,2,3,
Rensselaer,7,81,22,4,1,11,1
Brockport,9,89,13,,4,1,
Larchmont,13,96,23,2,4,3,1
Andes,6,6,5,,,9,1
Spafford,3,18,11,1,1,,1
Tyre,2,69,10,4,6,1,
Richmondville,2,23,17,,7,8,
Penfield,41,421,57,10,19,23,3
Dobbs Ferry,9,117,40,11,12,21,4
Dickinson,5,118,36,1,13,13,
Montebello,4,63,10,1,12,4,
Lowville,12,62,28,5,7,5,
Port Henry,1,3,4,,,1,
Otisco,4,14,12,,1,4,
Macedon,16,78,22,7,17,7,2
Mineola,10,385,12,4,3,1,
Florida,5,81,40,1,12,15,3
Wolcott,7,28,11,1,4,5,
Coventry,,9,14,1,1,7,
Westhampton Beach,3,49,2,1,2,1,
Covert,4,31,4,,2,3,
Amenia,1,39,8,4,15,6,2
Mamaroneck,25,327,65,20,27,23,4
Denmark,4,23,7,1,,2,1
Fleming,2,35,10,3,7,7,
Eaton,3,29,26,1,17,33,
New Castle,18,150,50,7,31,46,1
Murray,4,53,5,,10,1,
Sweden,6,129,21,3,10,3,
Wilmington,1,13,6,,6,8,2
Stony Point,12,129,33,11,32,65,2
Byron,6,47,13,1,3,2,
Jasper,1,12,5,2,1,11,2
Lumberland,4,10,8,1,4,12,
Woodstock,4,41,8,1,15,13,4
Saugerties,15,226,27,7,41,42,7
Tarrytown,28,183,29,2,15,13,2
Stephentown,1,15,3,,4,19,1
Vernon,10,76,28,5,7,9,2
Esperance,4,15,7,,4,9,
Sullivan,5,151,10,3,19,17,2
West Winfield,1,7,1,,,,
Northampton,,28,1,,7,3,
Suffern,11,83,26,3,9,19,
